id,label
187282,0
191602,0
180566,4
182197,0
189638,3
199600,3
182223,2
185912,2
203413,2
185184,0
191444,3
196951,2
199479,3
202432,3
181788,2
181957,2
184077,2
184417,4
186298,4
189126,3
190863,3
191799,2
192879,2
196110,3
201210,2
202072,3
177198,4
177266,2
180217,3
180314,3
180730,3
181336,3
181650,3
182365,2
182447,3
183105,3
184952,2
185242,3
185562,2
185678,2
185695,3
186032,3
187411,3
188853,2
189489,3
190785,4
191180,4
191232,0
192327,2
195510,3
197097,3
198659,3
199801,3
199928,2
200326,3
200999,4
202178,2
202437,2
202526,3
202771,0
203237,2
203358,2
203427,0
177169,3
178079,2
178240,4
178620,4
179454,3
179947,4
180149,2
180389,2
180425,2
180584,2
180721,3
181787,3
182074,3
182411,2
182434,3
182515,2
182629,3
182986,3
182988,3
183010,3
183050,4
183277,2
183720,2
183959,3
184076,4
184426,2
184529,3
184605,2
184883,4
185121,4
185156,3
185188,3
185224,3
185531,2
186035,2
186625,3
186684,3
186855,2
187009,2
187042,3
187105,2
188334,3
188800,2
188875,4
189768,2
190279,3
190613,4
191175,3
191327,4
191414,3
191561,3
191793,2
191835,2
192349,2
192720,4
192769,2
192821,3
193033,0
193329,2
193372,2
193741,3
195058,2
195956,3
196041,3
196127,3
197278,4
197402,2
197701,3
198817,3
198956,3
199324,3
199556,2
199574,2
199683,2
200363,2
201181,2
201227,3
201310,3
201876,4
201882,4
201961,2
201976,2
201998,3
202445,2
202554,3
202726,4
202980,4
203569,2
203749,2
203832,2
203849,3
177998,2
178135,2
179860,3
180124,3
180887,2
181140,2
181329,2
182160,3
183003,2
183871,3
184647,4
185447,3
185556,2
186428,2
187590,3
187813,2
187999,3
188444,3
188556,2
188615,2
188777,3
188787,3
188983,3
189144,2
189469,3
189992,3
190047,2
190229,3
191913,3
192372,2
193248,3
193327,2
193445,3
193970,3
194146,3
194213,3
194728,2
194754,3
196430,2
200722,2
201271,3
201651,4
202584,2
203607,2
177330,3
177501,3
178073,4
178125,3
178453,0
178676,2
179289,3
179359,4
179848,3
180458,2
180917,2
181325,3
181330,2
181369,3
181989,3
182370,2
182831,4
182870,3
182924,3
183066,3
183070,2
183453,2
183684,2
183759,2
183844,3
183989,3
183992,4
184069,4
184392,2
184459,3
184541,2
184554,3
184692,3
184812,4
184932,3
184995,2
185206,3
185228,2
185272,2
185359,2
185499,2
185604,2
185836,3
186221,2
186759,2
186928,2
187043,2
187212,2
187252,2
187392,3
187652,3
187741,3
188231,2
188630,3
188635,2
188698,2
188874,2
189100,3
189329,2
189449,3
189591,2
189703,3
189807,0
189826,2
190225,4
190749,3
192820,2
193037,2
193231,3
193809,2
193899,3
195043,3
195284,2
195719,2
196024,3
196176,2
196358,2
196630,3
196973,3
197833,3
198505,3
198576,3
199084,3
199227,3
199307,3
199623,3
199665,0
199975,3
200004,3
200355,2
200678,2
201263,0
201430,2
201785,2
201948,3
202361,4
202573,2
202827,3
203219,2
177165,3
177215,4
177451,2
177571,2
177837,3
178821,4
178827,3
178963,2
179350,3
179440,2
179555,2
179886,2
180294,3
180312,0
180318,3
180697,2
180775,3
180832,3
180902,3
180918,3
180942,2
181073,4
181184,2
181258,3
181424,2
181526,0
181817,2
181829,3
181839,2
182198,2
182375,2
182379,2
182608,3
182642,3
182679,2
182710,2
182722,3
182824,3
182935,2
183000,2
183017,2
183086,4
183325,3
183488,4
183587,2
183595,3
183738,0
183777,4
183864,3
183939,2
184121,3
184240,4
184277,3
184345,3
184610,2
184798,2
185534,3
185718,2
185772,3
